run,round,dimension,param_value,depth,heads,dropout,train_loss,train_acc,test_acc,best_epoch,time_sec
1,1,depth,1,1,4,0.1,0.4613,82.86,83.85,2,53.3
2,1,depth,2,2,4,0.1,0.4671,82.77,84.18,2,73.4
3,1,depth,3,3,4,0.1,0.4605,83.05,83.85,2,92.9
4,1,depth,4,4,4,0.1,0.4651,82.88,83.68,2,112.2
5,1,heads,1,2,1,0.1,0.5005,81.59,82.21,2,58.0
6,1,heads,2,2,2,0.1,0.4891,81.73,83.05,2,63.0
7,1,heads,4,2,4,0.1,0.4671,82.77,84.18,2,72.5
8,1,heads,8,2,8,0.1,0.4494,83.38,84.34,2,93.3
9,1,dropout,0.0,2,8,0.0,0.4179,84.44,84.74,2,86.2
10,1,dropout,0.1,2,8,0.1,0.4494,83.38,84.34,2,92.7
11,1,dropout,0.2,2,8,0.2,0.4808,82.2,82.21,2,93.1
12,1,dropout,0.5,2,8,0.5,0.5809,78.16,77.29,2,92.8
13,2,depth,1,1,8,0.0,0.43,84.23,84.02,2,60.9
14,2,depth,2,2,8,0.0,0.4179,84.44,84.74,2,87.3
15,2,depth,3,3,8,0.0,0.4252,84.33,83.91,2,113.5
16,2,depth,4,4,8,0.0,0.436,83.96,83.49,2,140.0
17,2,heads,1,2,1,0.0,0.4604,83.1,83.47,2,56.4
18,2,heads,2,2,2,0.0,0.4497,83.39,83.74,2,61.0
19,2,heads,4,2,4,0.0,0.4261,84.37,84.38,2,69.3
20,2,heads,8,2,8,0.0,0.4179,84.44,84.74,2,85.8
21,2,dropout,0.0,2,8,0.0,0.4179,84.44,84.74,2,86.4
22,2,dropout,0.1,2,8,0.1,0.4494,83.38,84.34,2,92.9
23,2,dropout,0.2,2,8,0.2,0.4808,82.2,82.21,2,92.7
24,2,dropout,0.5,2,8,0.5,0.5809,78.16,77.29,2,93.0
